,current_price,std_dev,average,upper,lower,BUSD,BTC,total_balance,action
2021-10-23 19:00:00,61008.4,306.88208,61096.992,61710.75634765625,60483.22802734375,1000000,10,1610084.0,NoTrade
2021-10-23 20:00:00,61117.41,306.66177,61095.25,61708.57354736328,60481.92645263672,1000000,10,1611174.1,NoTrade
2021-10-23 21:00:00,61035.67,306.40445,61096.363,61709.17218017578,60483.55438232422,1000000,10,1610356.7,NoTrade
2021-10-23 22:00:00,61012.06,306.88083,61090.855,61704.617126464844,60477.093811035156,1000000,10,1610120.6,NoTrade
2021-10-23 23:00:00,61279.94,308.3324,61093.664,61710.328857421875,60476.999267578125,1000000,10,1612799.4,NoTrade
2021-10-24 00:00:00,61087.09,308.06238,61090.52,61706.644287109375,60474.394775390625,1000000,10,1610870.9,NoTrade
2021-10-24 01:00:00,60994.06,307.85315,61091.137,61706.843017578125,60475.430419921875,1000000,10,1609940.6,NoTrade
2021-10-24 02:00:00,61173.6,308.04724,61098.18,61714.274169921875,60482.085205078125,1000000,10,1611736.0,NoTrade
2021-10-24 03:00:00,61220.76,304.91608,61115.227,61725.05871582031,60505.39440917969,1000000,10,1612207.6,NoTrade
2021-10-24 04:00:00,60988.22,306.0049,61111.387,61723.396545410156,60499.376892089844,1000000,10,1609882.2,NoTrade
2021-10-24 05:00:00,60902.17,291.57043,61124.01,61707.152587890625,60540.870849609375,1000000,10,1609021.7,NoTrade
2021-10-24 06:00:00,60697.9,207.27184,61152.85,61567.3952331543,60738.3078918457,999393.021,10.01,1606979.0,OpenBUY
2021-10-24 07:00:00,60692.14,210.43558,61110.457,61531.328186035156,60689.585876464844,999393.021,10.01,1606921.3424,NoTrade
2021-10-24 08:00:00,60525.09,223.28967,61059.97,61506.548095703125,60613.389404296875,999393.021,10.01,1605249.1719,NoTrade
2021-10-24 09:00:00,60792.87,221.52963,61033.145,61476.20379638672,60590.08526611328,999393.021,10.01,1607929.6497,NoTrade
2021-10-24 10:00:00,60929.55,222.67996,61028.227,61473.586486816406,60582.866638183594,999393.021,10.01,1609297.8165,NoTrade
2021-10-24 11:00:00,60287.03,255.46269,60970.582,61481.507415771484,60459.656646728516,999393.021,10.01,1602866.1913,NoTrade
2021-10-24 12:00:00,60392.97,281.67905,60933.805,61497.16278076172,60370.44659423828,999393.021,10.01,1603926.6507,NoTrade
2021-10-24 13:00:00,60522.82,286.5569,60898.4,61471.51220703125,60325.28466796875,999393.021,10.01,1605226.4492,NoTrade
2021-10-24 14:00:00,60105.75,318.62106,60838.273,61475.515563964844,60201.031311035156,999393.021,10.01,1601051.5784999998,NoTrade
2021-10-24 15:00:00,59864.54,379.74905,60781.082,61540.580139160156,60021.583923339844,999393.021,10.01,1598637.0664,NoTrade
2021-10-24 16:00:00,60363.06,381.92682,60743.363,61507.21691894531,59979.50964355469,999393.021,10.01,1603627.2516,NoTrade
2021-10-24 17:00:00,60317.45,386.49258,60707.45,61480.43438720703,59934.46405029297,999393.021,10.01,1603170.6955,NoTrade
2021-10-24 18:00:00,60116.57,400.23706,60662.688,61463.16162109375,59862.21337890625,999393.021,10.01,1601159.8867,NoTrade
2021-10-24 19:00:00,60642.07,374.3569,60630.793,61379.506774902344,59882.079162597656,999999.4417,10.0,1606420.1417,CloseBUY
2021-10-24 20:00:00,61166.19,379.53888,60634.742,61393.81994628906,59875.66442871094,999999.4417,10.0,1611661.3417,NoTrade
2021-10-24 21:00:00,60967.88,378.3406,60633.438,61390.118713378906,59876.756286621094,999999.4417,10.0,1609678.2417,NoTrade
2021-10-24 22:00:00,60920.11,364.00687,60620.758,61348.771545410156,59892.744079589844,999999.4417,10.0,1609200.5417,NoTrade
2021-10-24 23:00:00,60858.0,342.03207,60602.617,61286.68133544922,59918.55303955078,999999.4417,10.0,1608579.4416999999,NoTrade
2021-10-25 00:00:00,61823.99,427.07428,60644.406,61498.55480957031,59790.25769042969,1000617.6816,9.99,1618239.3417,OopenSELL
2021-10-25 01:00:00,61731.1,486.2075,60685.855,61658.270446777344,59713.440490722656,1000617.6816,9.99,1617311.3706,NoTrade
2021-10-25 02:00:00,61945.89,558.46344,60748.25,61865.17687988281,59631.32312011719,1000617.6816,9.99,1619457.1227000002,NoTrade
2021-10-25 03:00:00,62077.35,628.6907,60817.51,62074.89306640625,59560.13037109375,1000617.6816,9.99,1620770.4081000001,NoTrade
2021-10-25 04:00:00,62062.62,680.13306,60894.395,62254.66064453125,59534.12841796875,1000617.6816,9.99,1620623.2554000001,NoTrade
2021-10-25 05:00:00,61836.31,709.72125,60946.555,62365.99719238281,59527.11218261719,1000617.6816,9.99,1618362.4185000001,NoTrade
2021-10-25 06:00:00,62016.4,746.97,61000.9,62494.83837890625,59506.95849609375,1000617.6816,9.99,1620161.5176,NoTrade
2021-10-25 07:00:00,62651.3,809.1349,61119.113,62737.383056640625,59500.843505859375,1000617.6816,9.99,1626504.1686,NoTrade
2021-10-25 08:00:00,62713.36,861.3677,61235.137,62957.8720703125,59512.4013671875,1000617.6816,9.99,1627124.148,NoTrade
2021-10-25 09:00:00,62730.68,903.4545,61345.523,63152.43249511719,59538.61437988281,1000617.6816,9.99,1627297.1748000002,NoTrade
2021-10-25 10:00:00,62772.89,907.4475,61478.883,63293.77783203125,59663.98779296875,1000617.6816,9.99,1627718.8527000002,NoTrade
2021-10-25 11:00:00,62755.92,868.2139,61623.45,63359.87707519531,59887.02136230469,1000617.6816,9.99,1627549.3224,NoTrade
2021-10-25 12:00:00,62724.31,849.1291,61741.51,63439.76989746094,60043.25354003906,1000617.6816,9.99,1627233.5385,NoTrade
2021-10-25 13:00:00,63229.93,842.1302,61887.137,63571.39709472656,60202.87634277344,1000617.6816,9.99,1632284.6823,NoTrade
2021-10-25 14:00:00,63329.42,794.12787,62047.773,63636.02917480469,60459.51770019531,1000617.6816,9.99,1633278.5874,NoTrade
2021-10-25 15:00:00,63591.72,793.267,62195.26,63781.79577636719,60608.72766113281,1000617.6816,9.99,1635898.9644,NoTrade
2021-10-25 16:00:00,63605.86,812.97656,62317.25,63943.203125,60691.296875,1000617.6816,9.99,1636040.223,NoTrade
2021-10-25 17:00:00,63078.81,766.6478,62422.793,63956.088623046875,60889.497314453125,1000617.6816,9.99,1630774.9934999999,NoTrade
2021-10-25 18:00:00,63111.74,697.545,62532.375,63927.46496582031,61137.28503417969,1000617.6816,9.99,1631103.9642,NoTrade
2021-10-25 19:00:00,62667.35,582.33844,62622.844,63787.52062988281,61458.16687011719,999991.0081,10.0,1626664.5081,CloseSELL
2021-10-25 20:00:00,62547.43,553.3401,62659.02,63765.69970703125,61552.33935546875,999991.0081,10.0,1625465.3081,NoTrade
2021-10-25 21:00:00,62816.71,511.3029,62713.3,63735.90655517578,61690.69500732422,999991.0081,10.0,1628158.1080999998,NoTrade
2021-10-25 22:00:00,62998.3,482.98773,62765.918,63731.89343261719,61799.94250488281,999991.0081,10.0,1629974.0081,NoTrade
2021-10-25 23:00:00,63072.07,460.1994,62815.656,63736.05505371094,61895.25744628906,999991.0081,10.0,1630711.7081,NoTrade
2021-10-26 00:00:00,63090.0,429.59848,62867.023,63726.22039794922,62007.82647705078,999991.0081,10.0,1630891.0081,NoTrade
2021-10-26 01:00:00,62708.46,361.65106,62910.637,63633.93884277344,62187.33459472656,999991.0081,10.0,1627075.6080999998,NoTrade
2021-10-26 02:00:00,62735.3,301.75113,62946.582,63550.08428955078,62343.07977294922,999991.0081,10.0,1627344.0081,NoTrade
2021-10-26 03:00:00,62758.0,297.39523,62951.914,63546.704528808594,62357.123596191406,999991.0081,10.0,1627571.0081,NoTrade
2021-10-26 04:00:00,62454.82,312.7083,62938.99,63564.40490722656,62313.57165527344,999991.0081,10.0,1624539.2081,NoTrade
2021-10-26 05:00:00,62404.59,331.10428,62922.68,63584.888244628906,62260.471130371094,999991.0081,10.0,1624036.9081,NoTrade
2021-10-26 06:00:00,62370.01,351.24722,62902.543,63605.03741455078,62200.04852294922,999991.0081,10.0,1623691.1080999998,NoTrade
2021-10-26 07:00:00,62432.83,364.78784,62886.387,63615.96240234375,62156.81103515625,999991.0081,10.0,1624319.3081,NoTrade
2021-10-26 08:00:00,62820.02,363.25485,62891.168,63617.677673339844,62164.658264160156,999991.0081,10.0,1628191.2081,NoTrade
2021-10-26 09:00:00,62670.89,357.57645,62863.22,63578.371643066406,62148.065856933594,999991.0081,10.0,1626699.9081000001,NoTrade
2021-10-26 10:00:00,62985.83,342.7099,62846.04,63531.45886230469,62160.61926269531,999991.0081,10.0,1629849.3081,NoTrade
