,current_price,std_dev,average,upper,lower,BUSD,BTC,total_balance,action
2021-10-24 14:00:00,59864.54,392.0568,60944.48,61728.59405517578,60160.36688232422,999401.3546,10.01,1598645.4,OpenBUY
2021-10-24 16:00:00,60317.45,414.6294,60909.68,61738.9384765625,60080.4208984375,999401.3546,10.01,1603179.0291,NoTrade
2021-10-24 18:00:00,60642.07,411.9596,60880.586,61704.505126953125,60056.666748046875,999401.3546,10.01,1606428.4753,NoTrade
2021-10-24 20:00:00,60967.88,411.80283,60879.9,61703.50408935547,60056.29278564453,999401.3546,10.01,1609689.8334,NoTrade
2021-10-24 22:00:00,60858.0,411.83047,60878.8,61702.46173095703,60055.13983154297,1000009.9345999999,10.0,1608589.9345999998,CloseBUY
2021-10-25 00:00:00,61731.1,447.63742,60932.867,61828.142028808594,60037.592346191406,1000009.9345999999,10.0,1617320.9345999998,NoTrade
2021-10-25 02:00:00,62077.35,496.70837,60959.74,61953.155029296875,59966.321533203125,1000630.7080999999,9.99,1620783.4345999998,OopenSELL
2021-10-25 04:00:00,61836.31,526.9371,60985.074,62038.94836425781,59931.20007324219,1000630.7080999999,9.99,1618375.4449999998,NoTrade
2021-10-25 06:00:00,62651.3,634.40344,61045.645,62314.451416015625,59776.837646484375,1000630.7080999999,9.99,1626517.1951000001,NoTrade
2021-10-25 08:00:00,62730.68,732.8659,61120.625,62586.35681152344,59654.89318847656,1000630.7080999999,9.99,1627310.2012999998,NoTrade
2021-10-25 10:00:00,62755.92,813.96405,61208.0,62835.92810058594,59580.07189941406,1000630.7080999999,9.99,1627562.3489,NoTrade
2021-10-25 12:00:00,63229.93,923.81,61317.71,63165.33093261719,59470.09094238281,1000630.7080999999,9.99,1632297.7088,NoTrade
2021-10-25 14:00:00,63591.72,1048.116,61433.305,63529.53662109375,59337.07275390625,1000630.7080999999,9.99,1635911.9909,NoTrade
2021-10-25 16:00:00,63078.81,1101.5529,61537.543,63740.648681640625,59334.437255859375,1000630.7080999999,9.99,1630788.02,NoTrade
2021-10-25 18:00:00,62667.35,1125.6079,61609.867,63861.0830078125,59358.6513671875,1000630.7080999999,9.99,1626677.5346,NoTrade
2021-10-25 20:00:00,62816.71,1142.6332,61705.6,63990.867919921875,59420.335205078125,1000630.7080999999,9.99,1628169.6409999998,NoTrade
2021-10-25 22:00:00,63072.07,1154.7544,61824.6,64134.1103515625,59515.0927734375,1000630.7080999999,9.99,1630720.6874,NoTrade
2021-10-26 00:00:00,62708.46,1144.6056,61920.383,64209.593994140625,59631.171630859375,1000630.7080999999,9.99,1627088.2234999998,NoTrade
2021-10-26 02:00:00,62758.0,1093.8683,62043.93,64231.666259765625,59856.193115234375,1000630.7080999999,9.99,1627583.1280999999,NoTrade
2021-10-26 04:00:00,62404.59,1038.514,62138.02,64215.047607421875,60060.991455078125,1000630.7080999999,9.99,1624052.5622,NoTrade
2021-10-26 06:00:00,62432.83,898.85095,62266.43,64064.131591796875,60468.727783203125,1000630.7080999999,9.99,1624334.6798,NoTrade
2021-10-26 08:00:00,62670.89,782.5217,62384.105,63949.14892578125,60819.06201171875,1000630.7080999999,9.99,1626712.8991999999,NoTrade
2021-10-26 10:00:00,62738.59,675.205,62488.926,63839.33581542969,61138.51574707031,1000630.7080999999,9.99,1627389.2222,NoTrade
