,current_price,std_dev,average,upper,lower,BUSD,BTC,total_balance,action
2021-10-23 16:00:00,61231.12,268.76215,61143.25,61680.77429199219,60605.72570800781,1000000,10,1612311.2000000002,NoTrade
2021-10-23 18:00:00,61008.4,269.04147,61142.68,61680.762634277344,60604.596740722656,1000000,10,1610084.0,NoTrade
2021-10-23 20:00:00,61035.67,269.22546,61121.75,61660.200927734375,60583.299072265625,1000000,10,1610356.7,NoTrade
2021-10-23 22:00:00,61279.94,268.28986,61154.91,61691.48986816406,60618.33044433594,1000000,10,1612799.4,NoTrade
2021-10-24 00:00:00,60994.06,257.48093,61167.58,61682.539978027344,60652.616271972656,1000000,10,1609940.6,NoTrade
2021-10-24 02:00:00,61220.76,181.08707,61231.02,61593.19366455078,60868.84539794922,1000000,10,1612207.6,NoTrade
2021-10-24 04:00:00,60902.17,170.81796,61160.152,61501.78826904297,60818.51641845703,1000000,10,1609021.7,NoTrade
2021-10-24 06:00:00,60692.14,212.88245,61089.348,61515.112548828125,60663.582763671875,1000000,10,1606921.4,NoTrade
2021-10-24 08:00:00,60792.87,190.43948,61017.457,61398.335998535156,60636.578063964844,1000000,10,1607928.7000000002,NoTrade
2021-10-24 10:00:00,60287.03,281.90726,60912.555,61476.369201660156,60348.740173339844,999397.1297,10.01,1602870.3,OpenBUY
2021-10-24 12:00:00,60522.82,304.00284,60858.61,61466.61505126953,60250.60369873047,999397.1297,10.01,1605230.5579,NoTrade
2021-10-24 14:00:00,59864.54,426.3782,60728.484,61581.240783691406,59875.727966308594,999397.1297,10.01,1598641.1751,NoTrade
2021-10-24 16:00:00,60317.45,394.13663,60621.535,61409.80841064453,59833.26190185547,999397.1297,10.01,1603174.8042000001,NoTrade
2021-10-24 18:00:00,60642.07,372.0778,60582.43,61326.58526611328,59838.27410888672,1000003.5504000001,10.0,1606424.2504,CloseBUY
2021-10-24 20:00:00,60967.88,329.97882,60554.332,61214.28967285156,59894.37438964844,1000003.5504000001,10.0,1609682.3503999999,NoTrade
2021-10-24 22:00:00,60858.0,325.0605,60549.42,61199.54284667969,59899.30090332031,1000003.5504000001,10.0,1608583.5504,NoTrade
2021-10-25 00:00:00,61731.1,495.2035,60664.86,61655.266357421875,59674.452392578125,1000620.8614,9.99,1617314.5504,OopenSELL
2021-10-25 02:00:00,62077.35,666.87134,60807.582,62141.32470703125,59473.83935546875,1000620.8614,9.99,1620773.5879000002,NoTrade
2021-10-25 04:00:00,61836.31,708.9166,60979.723,62397.555908203125,59561.889404296875,1000620.8614,9.99,1618365.5983000002,NoTrade
2021-10-25 06:00:00,62651.3,856.679,61216.223,62929.58068847656,59502.86462402344,1000620.8614,9.99,1626507.3484,NoTrade
2021-10-25 08:00:00,62730.68,827.2359,61534.68,63189.15148925781,59880.20788574219,1000620.8614,9.99,1627300.3546000002,NoTrade
2021-10-25 10:00:00,62755.92,782.3014,61805.625,63370.227783203125,60241.022216796875,1000620.8614,9.99,1627552.5022,NoTrade
2021-10-25 12:00:00,63229.93,777.3629,62093.168,63647.893798828125,60538.442138671875,1000620.8614,9.99,1632287.8621,NoTrade
2021-10-25 14:00:00,63591.72,792.541,62384.703,63969.78515625,60799.62109375,1000620.8614,9.99,1635902.1442,NoTrade
