,current_price,std_dev,average,upper,lower,BUSD,BTC,total_balance,action
2021-10-23 00:40:00,60960.24,190.70303,60712.02,61093.42559814453,60330.61346435547,1000000,10,1609602.4,NoTrade
2021-10-23 00:45:00,61038.13,208.67874,60763.223,61180.580139160156,60345.865173339844,1000000,10,1610381.2999999998,NoTrade
2021-10-23 00:50:00,61055.0,204.54395,60824.367,61233.455078125,60415.279296875,1000000,10,1610550.0,NoTrade
2021-10-23 00:55:00,61152.31,201.96744,60891.516,61295.45050048828,60487.58074951172,1000000,10,1611523.1,NoTrade
2021-10-23 01:00:00,61106.9,129.92493,60966.484,61226.334228515625,60706.634521484375,1000000,10,1611069.0,NoTrade
2021-10-23 01:05:00,61134.17,105.68253,61012.453,61223.81819152832,60801.08805847168,1000000,10,1611341.7,NoTrade
2021-10-23 01:10:00,61215.35,118.99054,61043.355,61281.33654785156,60805.37438964844,1000000,10,1612153.5,NoTrade
2021-10-23 01:15:00,61087.05,107.64066,61064.348,61279.628982543945,60849.066329956055,1000000,10,1610870.5,NoTrade
2021-10-23 01:20:00,61110.94,68.92368,61095.57,61233.41767883301,60957.72294616699,1000000,10,1611109.4,NoTrade
2021-10-23 01:25:00,61079.07,50.71038,61108.77,61210.1902923584,61007.3487701416,1000000,10,1610790.7,NoTrade
2021-10-23 01:30:00,60952.15,68.201065,61099.215,61235.61697387695,60962.81271362305,999390.4785,10.01,1609521.5,OpenBUY
2021-10-23 01:35:00,60914.63,89.31243,61083.617,61262.2420501709,60904.9923248291,999390.4785,10.01,1609145.9248,NoTrade
2021-10-23 01:40:00,60973.39,91.691246,61063.734,61247.11686706543,60880.35188293457,999390.4785,10.01,1609734.1124,NoTrade
2021-10-23 01:45:00,60883.79,105.75338,61038.953,61250.459884643555,60827.446365356445,999390.4785,10.01,1608837.2163999998,NoTrade
2021-10-23 01:50:00,60876.0,110.92201,61010.266,61232.1096496582,60788.4216003418,999390.4785,10.01,1608759.2385,NoTrade
2021-10-23 01:55:00,61013.52,84.43042,60987.84,61156.70068359375,60818.97900390625,1000000.6137,10.0,1610135.8136999998,CloseBUY
2021-10-23 02:00:00,61108.0,87.37114,60990.168,61164.910247802734,60815.425689697266,1000000.6137,10.0,1611080.6137,NoTrade
2021-10-23 02:05:00,61170.81,97.95143,60996.82,61192.72317504883,60800.91744995117,1000000.6137,10.0,1611708.7137,NoTrade
2021-10-23 02:10:00,61108.25,101.05412,61000.062,61202.17074584961,60797.95425415039,1000000.6137,10.0,1611083.1137,NoTrade
2021-10-23 02:15:00,61137.16,107.80914,61020.617,61236.23547363281,60804.99890136719,1000000.6137,10.0,1611372.2137000002,NoTrade
2021-10-23 02:20:00,61083.62,102.28957,61039.39,61243.96977233887,60834.81147766113,1000000.6137,10.0,1610836.8137,NoTrade
2021-10-23 02:25:00,61010.0,100.29241,61043.457,61244.0418548584,60842.8722076416,1000000.6137,10.0,1610100.6137,NoTrade
2021-10-23 02:30:00,61076.83,83.002625,61064.91,61230.91540527344,60898.90490722656,1000000.6137,10.0,1610768.9137,NoTrade
2021-10-23 02:35:00,61025.71,53.087154,61081.543,61187.717277526855,60975.368659973145,1000000.6137,10.0,1610257.7137,NoTrade
2021-10-23 02:40:00,61004.01,54.505962,61080.484,61189.49629974365,60971.47245025635,1000000.6137,10.0,1610040.7137,NoTrade
2021-10-23 02:45:00,61105.47,54.369633,61080.207,61188.946296691895,60971.467765808105,1000000.6137,10.0,1611055.3136999998,NoTrade
2021-10-23 02:50:00,61103.03,45.22332,61072.68,61163.12632751465,60982.23304748535,1000000.6137,10.0,1611030.9137,NoTrade
2021-10-23 02:55:00,61122.04,46.614758,61074.207,61167.43654632568,60980.97751617432,1000000.6137,10.0,1611221.0137,NoTrade
2021-10-23 03:00:00,61139.73,47.0058,61074.492,61168.50378417969,60980.48059082031,1000000.6137,10.0,1611397.9137,NoTrade
2021-10-23 03:05:00,61101.24,47.706734,61076.453,61171.86659240723,60981.03965759277,1000000.6137,10.0,1611013.0137,NoTrade
2021-10-23 03:10:00,61099.25,41.769737,61086.367,61169.906661987305,61002.827713012695,1000000.6137,10.0,1610993.1137,NoTrade
2021-10-23 03:15:00,61162.0,47.75589,61095.832,61191.343811035156,61000.320251464844,1000000.6137,10.0,1611620.6137,NoTrade
2021-10-23 03:20:00,61046.68,44.691277,61098.16,61187.542709350586,61008.777603149414,1000000.6137,10.0,1610467.4137,NoTrade
2021-10-23 03:25:00,61087.54,30.640068,61107.445,61168.7254486084,61046.1651763916,1000000.6137,10.0,1610876.0137,NoTrade
2021-10-23 03:30:00,61083.64,31.550642,61105.016,61168.1169090271,61041.9143409729,1000000.6137,10.0,1610837.0137,NoTrade
2021-10-23 03:35:00,61100.44,31.579235,61104.73,61167.88893890381,61041.57199859619,1000000.6137,10.0,1611005.0137,NoTrade
2021-10-23 03:40:00,61141.27,33.282837,61106.86,61173.425048828125,61040.293701171875,1000000.6137,10.0,1611413.3136999998,NoTrade
2021-10-23 03:45:00,61134.36,32.731785,61106.27,61171.73310089111,61040.80596160889,1000000.6137,10.0,1611344.2137,NoTrade
2021-10-23 03:50:00,61200.0,43.866997,61117.242,61204.97618103027,61029.50819396973,1000000.6137,10.0,1612000.6137,NoTrade
2021-10-23 03:55:00,61224.03,54.43545,61131.11,61239.98027801514,61022.23847198486,1000000.6137,10.0,1612240.9137,NoTrade
2021-10-23 04:00:00,61336.07,84.56287,61150.445,61319.571044921875,60981.319580078125,1000613.9744,9.99,1613361.3136999998,OopenSELL
2021-10-23 04:05:00,61458.07,119.91521,61196.16,61435.99057006836,60956.32974243164,1000613.9744,9.99,1614580.0937,NoTrade
2021-10-23 04:10:00,61490.76,143.89224,61240.957,61528.74151611328,60953.17254638672,1000613.9744,9.99,1614906.6668,NoTrade
2021-10-23 04:15:00,61434.14,143.47427,61279.902,61566.85089111328,60992.95379638672,1000613.9744,9.99,1614341.0329999998,NoTrade
2021-10-23 04:20:00,61507.2,143.88876,61325.098,61612.87518310547,61037.32012939453,1000613.9744,9.99,1615070.9024,NoTrade
2021-10-23 04:25:00,61406.64,129.68604,61354.582,61613.9541015625,61095.2099609375,999999.9079999999,10.0,1614066.308,CloseSELL
2021-10-23 04:30:00,61280.02,108.56088,61370.77,61587.89129638672,61153.64776611328,999999.9079999999,10.0,1612800.108,NoTrade
2021-10-23 04:35:00,61138.16,120.45713,61363.902,61604.81660461426,61122.98808288574,999999.9079999999,10.0,1611381.508,NoTrade
2021-10-23 04:40:00,61033.97,154.8715,61342.777,61652.52035522461,61033.03433227539,999999.9079999999,10.0,1610339.608,NoTrade
2021-10-23 04:45:00,61112.23,171.07767,61317.91,61660.065490722656,60975.754821777344,999999.9079999999,10.0,1611122.208,NoTrade
2021-10-23 04:50:00,61177.26,168.2537,61286.707,61623.214416503906,60950.199645996094,999999.9079999999,10.0,1611772.508,NoTrade
