,"pair","place","price","quantity","total_paid","fee_amount","fee_type"
98,"AAVEBRL","BUY",1709,"REMOVED","REMOVED","REMOVED","BNB"
99,"DOTBRL","BUY",241,"REMOVED","REMOVED","REMOVED","BNB"
100,"DOTBRL","BUY",246,"REMOVED","REMOVED","REMOVED","BNB"
101,"AXSBRL","BUY",414.8,"REMOVED","REMOVED","REMOVED","BNB"
102,"USDTBRL","SELL",5.185,"REMOVED","REMOVED","REMOVED","BRL"
103,"USDTBRL","SELL",5.185,"REMOVED","REMOVED","REMOVED","BNB"
104,"USDTBRL","SELL",5.185,"REMOVED","REMOVED","REMOVED","BRL"
105,"USDTBRL","SELL",5.185,"REMOVED","REMOVED","REMOVED","BNB"
106,"USDTBRL","BUY",5.115,"REMOVED","REMOVED","REMOVED","USDT"
107,"USDTBRL","BUY",5.115,"REMOVED","REMOVED","REMOVED","USDT"
108,"USDTBRL","SELL",5.107,"REMOVED","REMOVED","REMOVED","BRL"
109,"USDTBRL","SELL",5.106,"REMOVED","REMOVED","REMOVED","BRL"
110,"USDTBRL","SELL",5.198,"REMOVED","REMOVED","REMOVED","BRL"
111,"USDTBRL","BUY",5.192,"REMOVED","REMOVED","REMOVED","USDT"
112,"USDTBRL","SELL",5.322,"REMOVED","REMOVED","REMOVED","BRL"
113,"BUSDBRL","SELL",5.469,"REMOVED","REMOVED","REMOVED","BNB"
114,"BUSDBRL","SELL",5.469,"REMOVED","REMOVED","REMOVED","BNB"
115,"BUSDBRL","SELL",5.3,"REMOVED","REMOVED","REMOVED","BNB"
116,"1INCHBUSD","BUY",5.61,"REMOVED","REMOVED","REMOVED","BNB"
117,"DOGEBRL","BUY",1.05,"REMOVED","REMOVED","REMOVED","DOGE"
118,"DOGEBRL","BUY",1.945,"REMOVED","REMOVED","REMOVED","DOGE"
119,"DOGEBRL","BUY",1.625,"REMOVED","REMOVED","REMOVED","BNB"
120,"DOGEBRL","BUY",1.6299,"REMOVED","REMOVED","REMOVED","BNB"
121,"DOGEBRL","BUY",1.63,"REMOVED","REMOVED","REMOVED","BNB"
122,"DOGEBRL","BUY",1.5444,"REMOVED","REMOVED","REMOVED","BNB"
123,"DOGEBRL","BUY",1.5536,"REMOVED","REMOVED","REMOVED","DOGE"
124,"DOGEBRL","BUY",2.67,"REMOVED","REMOVED","REMOVED","DOGE"
125,"DOGEBRL","SELL",2.4539,"REMOVED","REMOVED","REMOVED","BRL"
126,"DOGEBRL","SELL",2.4606,"REMOVED","REMOVED","REMOVED","BNB"
127,"DOGEUSDT","BUY",0.0643769,"REMOVED","REMOVED","REMOVED","DOGE"
128,"DOGEUSDT","SELL",0.31,"REMOVED","REMOVED","REMOVED","USDT"
129,"DOGEUSDT","SELL",0.55201,"REMOVED","REMOVED","REMOVED","BNB"
130,"DOGEUSDT","BUY",0.521,"REMOVED","REMOVED","REMOVED","DOGE"
131,"DOGEUSDT","SELL",0.662,"REMOVED","REMOVED","REMOVED","USDT"
132,"DOGEUSDT","SELL",0.67,"REMOVED","REMOVED","REMOVED","USDT"
